"","Collection","Label","freq"
"1","ARS piano roll collection","Aeolian",6
"2","ARS piano roll collection","Ampico",192
"3","ARS piano roll collection","Apollo",1
"4","ARS piano roll collection","Artempo",2
"5","ARS piano roll collection","Artrio-Angelus",2
"6","ARS piano roll collection","Autograph",5
"7","ARS piano roll collection","BluesTone",1
"8","ARS piano roll collection","Cecilian",1
"9","ARS piano roll collection","Duo-Art",25
"10","ARS piano roll collection","Eighty-eight note",2
"11","ARS piano roll collection","Gulbransen",1
"12","ARS piano roll collection","Imperial",2
"13","ARS piano roll collection","International Word Roll",1
"14","ARS piano roll collection","Melodee",1
"15","ARS piano roll collection","Picturoll",1
"16","ARS piano roll collection","Popularoll",3
"17","ARS piano roll collection","QRS",66
"18","ARS piano roll collection","Rhythmodik",6
"19","ARS piano roll collection","SingA Word Roll",1
"20","ARS piano roll collection","Supertone",10
"21","ARS piano roll collection","Uni-Record",4
"22","ARS piano roll collection","United States Music Co.",1
"23","ARS piano roll collection","Universal",5
"24","ARS piano roll collection","Vocalstyle",8
"25","ARS piano roll collection","Welte Mignon",8
"26","Condon","Aeolian (non-Duo-Art)",3
"27","Condon","Ampico",2614
"28","Condon","Animatic",68
"29","Condon","Apollo",26
"30","Condon","Artrio-Angelus",3
"31","Condon","Broadway",2
"32","Condon","Cable Company",1
"33","Condon","Carilon Rolls",25
"34","Condon","Duo-Art",2665
"35","Condon","Mastertouch",22
"36","Condon","Melodee",7
"37","Condon","Metrostyle ThemodisPianolist",7
"38","Condon","Miscellaneous",13
"39","Condon","Perfection",6
"40","Condon","Philag",4
"41","Condon","QRS - ArtEcho",306
"42","Condon","Triphonola",234
"43","Condon","Universal",12
"44","Condon","Welte Mignon",1350
"45","Guild and La Croix","Artempo",1
"46","Guild and La Croix","Artrio-Angelus",110
"47","Guild and La Croix","Duo-Art",1
"48","Guild and La Croix","Imperial",4
"49","Guild and La Croix","Melodee",2
"50","Guild and La Croix","Picturoll (Filmusic Co.)",1
"51","Guild and La Croix","Pop (Musicrafts)",2
"52","Guild and La Croix","QRS",336
"53","Guild and La Croix","Rythmodik",1
"54","Guild and La Croix","Solostyle",1
"55","Guild and La Croix","Universal",1
"56","Guild and La Croix","Vocalstyle",3
